country;actual_stage
Algeria;R32
Argentina;2
Australia;R32
Austria;R32
Belgium;QF
Bosnia and Herzegovina;R32
Brazil;R16
Canada;R16
Cape Verde;R32
Colombia;R16
Croatia;R32
Curaçao;GROUP
Czechia;GROUP
DR Congo;R32
Ecuador;R32
Egypt;R16
England;3
France;4
Germany;R32
Ghana;R32
Haiti;GROUP
Iran;GROUP
Iraq;GROUP
Ivory Coast;R32
Japan;R32
Jordan;GROUP
Mexico;R16
Morocco;QF
Netherlands;R32
New Zealand;GROUP
Norway;QF
Panama;GROUP
Paraguay;R16
Portugal;R16
Qatar;GROUP
Saudi Arabia;GROUP
Scotland;GROUP
Senegal;R32
South Africa;R32
South Korea;GROUP
Spain;1
Sweden;R32
Switzerland;QF
Tunisia;GROUP
Turkey;GROUP
United States;R16
Uruguay;GROUP
Uzbekistan;GROUP
