match_no,round,team_a,team_b
1,R32,2A,2B
2,R32,1E,3ABCDF
3,R32,1F,2C
4,R32,1C,2F
5,R32,1I,3CDFGH
6,R32,2E,2I
7,R32,1A,3CEFHI
8,R32,1L,3EHIJK
9,R32,1D,3BEFIJ
10,R32,1G,3AEHIJ
11,R32,2K,2L
12,R32,1H,2J
13,R32,1B,3EFGIJ
14,R32,1J,2H
15,R32,1K,3DEIJL
16,R32,2D,2G
17,R16,2,5
18,R16,1,3
19,R16,4,6
20,R16,7,8
21,R16,11,12
22,R16,9,10
23,R16,14,16
24,R16,13,15
A,Quarter,17,18
B,Quarter,21,22
C,Quarter,19,20
D,Quarter,23,24
SF1,Semi,A,B
SF2,Semi,C,D
M103,Third,Runner-up SF1,Runner-up SF2
M104,Final,SF1,SF2
